log_id,date,engine_id,ata_chapter,component,text
LOG-1234,2025-06-06 17:02,93,79-00,Oil System,Line Maintenance Write-Up #1234 | Oil System (ATA 79-00): HPT stage-2 nozzle guide vanes exhibit oxidation and hot-section erosion beyond serviceable limits. Resolution: LPT shroud segment blended within limits per AMM 72-40-07. Borescope re-check confirms crack arrest. Returned to service.
LOG-1235,2025-11-12 19:02,69,78-30,Thrust Reverser,"Maintenance Debrief Engine 69 (Thrust Reverser, ATA 78-30): Crew reported anomaly. Finding: Acoustic anomaly reported by flight crew during takeoff roll; traced to combustor liner burnthrough. Fan cowl latch replaced (PN: 496-X35). All 6 latches tested for positive engagement and safety catch. Ops check complete."
LOG-1236,2025-12-26 05:02,71,36-10,Bleed Air / Anti-Ice System,Borescope Work Order | Engine 71 | Bleed Air / Anti-Ice System: Fuel flowmeter reading 4% low vs. calibrated master; suspected sensor contamination. Outcome: P&D valve replaced (PN: 204-X16). Engine shutdown test × 3 confirms full closure within 1.5 s. Leak check clear.
LOG-1237,2025-11-25 02:02,56,79-00,Oil System,"Post-Flight Inspection Engine 56 (ATA 79-00): Post-bird-strike inspection revealed fan blade FOD on blades 4, 7, and 11; all within blend limits. Starter replaced (PN: 582-X17); motoring check confirmed N2 rise rate meets AMM minimum. Start cycle tested × 3."
LOG-1238,2026-03-12 16:02,53,79-00,Oil System,Line Maintenance Write-Up #1238 | Oil System (ATA 79-00): Rub strip contact observed on HPC stage-5 rotor; abradable coating partially displaced. Resolution: Fan acoustic liner panel repaired with structural film adhesive per AMM 71-10-04 (PN: 915-A65). Tap test confirms no further delamination.
LOG-1239,2026-04-30 11:02,49,72-30,Variable Stator Vane (VSV) System,Shop Finding — Engine S/N 49 | Variable Stator Vane (VSV) System: Oil pressure fluctuation between 40–55 PSI during cruise; suspected air ingestion at oil tank vent. Disposition: Fan cowl latch replaced (PN: 297-X81). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1240,2025-10-20 23:02,74,74-10,Starter / Ignition System,"ACARS Engine Alert — Engine 74 Sensor S21: Fan blade dovetail fretting wear observed; fits within blend limits per AMM 72-20-03. Ground team response: High-pressure fuel pump replaced (PN: 865-B69). Discharge pressure confirmed at 2,950 PSI at max continuous — within spec."
LOG-1241,2025-06-08 13:02,77,72-20,Fan Module / Bypass,Borescope Work Order | Engine 77 | Fan Module / Bypass: Excessive vibration recorded on the #2 bearing structural frame — 3.2 IPS pk-pk against limit of 2.5 IPS. Outcome: Oil seal replaced (PN: 560-X85). Engine oil consumption check over 10-hour period: 0.15 qt/hr — within limit of 0.4 qt/hr.
LOG-1242,2026-05-11 20:02,72,72-30,Variable Stator Vane (VSV) System,Routine Inspection of Variable Stator Vane (VSV) System on Engine 72: Fan blade leading edge nick measuring 0.08 in width found at 60% span during walk-around. Action Taken: Removed and routed to off-site MRO shop for full overhaul (work order WO-341-A24). Installed serviceable spare.
LOG-1243,2026-03-21 06:02,14,73-20,Engine Control (FADEC),Post-Flight Inspection Engine 14 (ATA 73-20): 5th-stage bleed check valve stuck open; high-pressure bleed air back-flowing into 9th-stage duct. Starter replaced (PN: 788-C76); motoring check confirmed N2 rise rate meets AMM minimum. Start cycle tested × 3.
LOG-1244,2025-07-05 08:02,26,71-10,Inlet / Nacelle,Auto-Alert on Sensor S2 (Engine 26). Turbine Rear Frame strut cracks detected by eddy-current inspection; 3 of 10 struts affected. Blended out compressor blade damage per AMM 72-30-05; within all dimensional limits. FPI re-check clear.
LOG-1245,2025-06-10 23:02,75,73-20,Engine Control (FADEC),Auto-Alert on Sensor S20 (Engine 75). HPC stage-7 blade tip erosion reducing surge margin below EHM threshold. Combustor liner replaced with serviceable unit (PN: 387-C92). Borescope post-installation confirms correct seating.
LOG-1246,2025-08-13 16:02,83,71-10,Inlet / Nacelle,Trend Analysis Report — Engine 83 Inlet / Nacelle: Debris found in magnetic chip detector (MCD); metallurgical analysis confirms #3 bearing wear particles. Maintenance response: EGT harness replaced (PN: 520-C90). All thermocouple channels checked against reference — max split 12 °C. FADEC reset.
LOG-1247,2025-07-28 13:02,69,79-00,Oil System,Post-Flight Inspection Engine 69 (ATA 79-00): HPC casing distortion causing variable stator vane (VSV) schedule anomaly at high power settings. Applied high-temp RTV sealant (MIL-A-46146) and safety-wired mounting brackets per engineering order.
LOG-1248,2025-06-29 14:02,94,79-00,Oil System,Post-Flight Inspection Engine 94 (ATA 79-00): Inter-turbine temperature (ITT) exceedance recorded — peak of 987 °C against a redline of 960 °C during climb. Component removed and replaced with serviceable unit (PN: 352-X86). Ground engine run and ops check normal.
LOG-1249,2025-10-22 00:02,55,78-30,Exhaust / Nozzle,"Non-Routine Card NRC-1249 opened for Engine 55 Exhaust / Nozzle. Finding: Post-bird-strike inspection revealed fan blade FOD on blades 4, 7, and 11; all within blend limits. Action: Sensor recalibrated against master gauge (serial #511-C26). Ground engine run at max continuous power — all params normal."
LOG-1250,2025-08-15 07:02,39,72-30,High-Pressure Compressor (HPC),Pilot Report — Engine 39 (High-Pressure Compressor (HPC)): AGB oil filler cap found improperly seated; oil loss estimated at 2.3 qt over 4-hour flight. Corrective Action: Blended out compressor blade damage per AMM 72-30-05; within all dimensional limits. FPI re-check clear.
LOG-1251,2026-05-02 07:02,37,72-60,Accessory Gearbox (AGB),EHM System Flag — Sensor S18 | Engine 37 | ATA 72-60: Trend monitoring flagged sustained deviation in bleed air temperature (+18 °C over 30-cycle baseline). Fan cowl latch replaced (PN: 508-B62). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1252,2025-07-11 21:02,36,73-20,Engine Control (FADEC),Non-Routine Card NRC-1252 opened for Engine 36 Engine Control (FADEC). Finding: Thrust reverser hydraulic actuator internal leak rate measured at 18 cc/min against limit of 5 cc/min. Action: Turbine Rear Frame strut repair per DER-approved repair scheme RS-487-A77. NDT re-check clear. Returned to service.
LOG-1253,2025-08-27 08:02,1,72-30,Variable Stator Vane (VSV) System,"EHM System Flag — Sensor S7 | Engine 1 | ATA 72-30: Post-bird-strike inspection revealed fan blade FOD on blades 4, 7, and 11; all within blend limits. Unison ring replaced (PN: 545-B84) per AMM 72-30-12. VSV schedule verified across N2 range — max deviation 0.8°."
LOG-1254,2025-09-17 02:02,20,72-50,High-Pressure Turbine (HPT),ACARS Engine Alert — Engine 20 Sensor S13: LPC booster blade erosion causing inlet distortion and increased N1 vibration. Ground team response: Engine sent to test cell for full performance restoration workscope. Post-test EGT margin: +42 °C. Returned to fleet.
LOG-1255,2025-07-08 21:02,57,79-00,Oil System,ATA 79-00 | Engine 57: HPC stage-7 blade tip erosion reducing surge margin below EHM threshold. N2 sensor and wiring harness replaced (PN: 608-A16). Signal continuity confirmed on all channels. Engine run at cruise power — stable.
LOG-1256,2025-06-06 00:02,63,71-10,Inlet / Nacelle,Pilot Report — Engine 63 (Inlet / Nacelle): Micro-cracking observed on root attachment of HPC stage-2 blades; confirmed by fluorescent penetrant inspection (FPI). Corrective Action: Starter replaced (PN: 797-X24); motoring check confirmed N2 rise rate meets AMM minimum. Start cycle tested × 3.
LOG-1257,2025-09-28 07:02,35,73-20,Engine Control (FADEC),Post-Flight Inspection Engine 35 (ATA 73-20): High-pressure fuel pump discharge pressure 200 PSI below spec at max power; pump worn. Fan cowl latch replaced (PN: 632-C86). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1258,2026-04-02 18:02,90,78-30,Exhaust / Nozzle,Heavy Check C-Visit Finding | Engine 90 | Exhaust / Nozzle: Trend monitoring flagged sustained deviation in bleed air temperature (+18 °C over 30-cycle baseline). Engineering disposition: Sensor recalibrated against master gauge (serial #892-Z77). Ground engine run at max continuous power — all params normal.
LOG-1259,2025-07-23 21:02,16,71-20,Engine Mounts / Pylon,Trend Analysis Report — Engine 16 Engine Mounts / Pylon: Anti-ice valve butterfly disc fractured; nacelle anti-ice inoperative — deferred per MEL 30-11. Maintenance response: FADEC software updated to version 5.1.4 per SB 71-20-73-056. Ground test cycle confirms correct engine response.
LOG-1260,2026-05-16 08:02,59,72-30,Variable Stator Vane (VSV) System,Borescope Work Order | Engine 59 | Variable Stator Vane (VSV) System: EGT margin deterioration of 22 °C noted over last 200 cycles; HPC wash scheduled. Outcome: VSV rigging adjusted per AMM 72-30-12 to restore schedule within ±1°. Functional test satisfactory.
LOG-1261,2026-05-20 10:02,100,72-60,Accessory Gearbox (AGB),Non-Routine Card NRC-1261 opened for Engine 100 Accessory Gearbox (AGB). Finding: Sensor recalibration required: PS3 static pressure probe reading 2% high versus pitot-static reference. Action: Adjusted fuel-flow metering within FADEC software limits (ref SB 72-60-73-12). Cleared for revenue service.
LOG-1262,2025-09-05 23:02,78,72-20,Fan Module / Bypass,Engine 78 AOG Recovery — Fan Module / Bypass (ATA 72-20): High-pressure fuel pump discharge pressure 200 PSI below spec at max power; pump worn. Expedited action: Combustor liner replaced with serviceable unit (PN: 713-B51). Borescope post-installation confirms correct seating.
LOG-1263,2026-03-01 01:02,85,78-30,Exhaust / Nozzle,Auto-Alert on Sensor S8 (Engine 85). Excessive vibration N1 (1.8 IPS pk) traced to single fan blade mass imbalance; field balance performed. Applied high-temp RTV sealant (MIL-A-46146) and safety-wired mounting brackets per engineering order.
LOG-1264,2025-09-25 09:02,90,72-50,High-Pressure Turbine (HPT),Heavy Check C-Visit Finding | Engine 90 | High-Pressure Turbine (HPT): Seal degradation resulting in higher-than-expected secondary airflow bypass; labyrinth knife-edges worn. Engineering disposition: Field fan balance performed (4 balance weights added per AMM 72-20-09). N1 vibration reduced from 1.8 to 0.3 IPS.
LOG-1265,2025-08-13 12:02,15,72-20,Low-Pressure Compressor (LPC / Booster),ACARS Engine Alert — Engine 15 Sensor S4: In-flight deployment warning light illuminated; reverser cowl latch safety switch found open-circuit. Ground team response: Water-in-fuel system drained and flushed per AMM 73-10-07. Filter element replaced (PN: 505-Z85). WIF sensor re-tested OK.
LOG-1266,2025-06-03 08:02,57,72-20,Low-Pressure Compressor (LPC / Booster),EHM System Flag — Sensor S3 | Engine 57 | ATA 72-20: Fan cowl door latch pin fractured; door opened in flight causing structural damage to leading edge. VSV rigging adjusted per AMM 72-30-12 to restore schedule within ±1°. Functional test satisfactory.
LOG-1267,2026-04-20 01:02,85,72-50,High-Pressure Turbine (HPT),"ATA 72-50 | Engine 85: T2 inlet temperature sensor iced over during descent, causing erroneous FADEC fuel schedule trim. Carried out compressor on-wing wash per CFMI SB 72-0XXX. EGT margin recovered by 18 °C. Returned to service."
LOG-1268,2026-03-26 21:02,79,74-10,Starter / Ignition System,Engine 79 AOG Recovery — Starter / Ignition System (ATA 74-10): Hydraulic actuator seal failure causing hydraulic fluid contamination in nacelle zone 3. Expedited action: Thrust reverser actuator replaced (PN: 244-C41). Full stow/deploy cycle tests × 5 — all within time limits.
LOG-1269,2026-04-24 15:02,10,73-20,Engine Control (FADEC),"Maintenance Debrief Engine 10 (Engine Control (FADEC), ATA 73-20): Crew reported anomaly. Finding: LPC booster blade erosion causing inlet distortion and increased N1 vibration. Engine inlet FOD inspection completed per post-bird-strike check sheet. All blades within blend limits. Returned to service."
LOG-1270,2025-08-06 05:02,63,71-20,Engine Mounts / Pylon,Auto-Alert on Sensor S1 (Engine 63). Thrust reverser hydraulic actuator internal leak rate measured at 18 cc/min against limit of 5 cc/min. FADEC software updated to version 5.1.4 per SB 71-20-73-056. Ground test cycle confirms correct engine response.
LOG-1271,2025-10-08 03:02,82,72-50,High-Pressure Turbine (HPT),Routine Inspection of High-Pressure Turbine (HPT) on Engine 82: Impact damage to fan spinner cone; crack propagating from rivet hole confirmed by dye-penetrant check. Action Taken: N2 sensor and wiring harness replaced (PN: 638-Z49). Signal continuity confirmed on all channels. Engine run at cruise power — stable.
LOG-1272,2025-08-01 19:02,29,73-10,Fuel System,ATA 73-10 | Engine 29: HPT stage-2 nozzle guide vanes exhibit oxidation and hot-section erosion beyond serviceable limits. Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service.
LOG-1273,2025-08-31 06:02,19,72-40,Low-Pressure Turbine (LPT),Non-Routine Card NRC-1273 opened for Engine 19 Low-Pressure Turbine (LPT). Finding: Engine failed to light off within hung-start time limit; ignition exciter output checked at 1.8 J vs. 3.0 J spec. Action: P&D valve replaced (PN: 936-C20). Engine shutdown test × 3 confirms full closure within 1.5 s. Leak check clear.
LOG-1274,2025-12-17 08:02,53,71-10,Inlet / Nacelle,Auto-Alert on Sensor S1 (Engine 53). Thrust reverser hydraulic actuator internal leak rate measured at 18 cc/min against limit of 5 cc/min. Performed MCD chip analysis per Engineering Order EO-381-C93; single isolated particle cleared by metallurgy. Ops check passed.
LOG-1275,2025-12-11 10:02,25,73-10,Fuel System,"Routine Inspection of Fuel System on Engine 25: VSV unison ring wear pin fractured; complete ring replaced per AMM 72-30-12. Action Taken: Replaced fuel nozzle set (24 nozzles, PN: 115-B77). Engine ground run at idle and max continuous — EGT spread within 15 °C."
LOG-1276,2025-12-25 13:02,27,73-20,Engine Control (FADEC),EHM System Flag — Sensor S20 | Engine 27 | ATA 73-20: Water-in-fuel (WIF) sensor triggered during pre-flight; 0.5 cc of water found in low-point drain. Removed and routed to off-site MRO shop for full overhaul (work order WO-313-X20). Installed serviceable spare.
LOG-1277,2025-08-07 04:02,12,72-40,Low-Pressure Turbine (LPT),ATA 72-40 | Engine 12: N2 speed sensor signal intermittent above FL350; EMI source identified on P-lead harness. Bleed check valve replaced (PN: 383-Z99). Bleed system functional test at ground idle and max continuous — normal.
LOG-1278,2026-05-14 02:02,82,74-10,Starter / Ignition System,Pilot Report — Engine 82 (Starter / Ignition System): Recurring high EGT on engine #2 linked to compressor wash interval — on-wing wash completed. Corrective Action: P&D valve replaced (PN: 378-Z59). Engine shutdown test × 3 confirms full closure within 1.5 s. Leak check clear.
LOG-1279,2025-10-26 19:02,19,73-10,Fuel System,Heavy Check C-Visit Finding | Engine 19 | Fuel System: LPT stage-3 shroud segment shows circumferential crack; confirmed serviceable under AMM 72-40-05 blend limits. Engineering disposition: Turbine Rear Frame strut repair per DER-approved repair scheme RS-498-Z82. NDT re-check clear. Returned to service.
LOG-1280,2026-04-16 00:02,88,72-30,Variable Stator Vane (VSV) System,ACARS Engine Alert — Engine 88 Sensor S9: VSV schedule error of +3.5° at N2 = 87%; FADEC trim corrected after actuator feedback cable re-rigged. Ground team response: Fan cowl latch replaced (PN: 895-A66). All 6 latches tested for positive engagement and safety catch. Ops check complete.
LOG-1281,2025-06-02 14:02,9,71-10,Inlet / Nacelle,Auto-Alert on Sensor S2 (Engine 9). Pressure drop exceeding 15 PSI across the primary fuel manifold; filter element blocked. Sensor recalibrated against master gauge (serial #590-X57). Ground engine run at max continuous power — all params normal.
LOG-1282,2025-11-29 07:02,19,72-30,High-Pressure Compressor (HPC),"Trend Analysis Report — Engine 19 High-Pressure Compressor (HPC): T2 inlet temperature sensor iced over during descent, causing erroneous FADEC fuel schedule trim. Maintenance response: Component removed and replaced with serviceable unit (PN: 924-X39). Ground engine run and ops check normal."
LOG-1283,2025-12-13 15:02,79,72-20,Low-Pressure Compressor (LPC / Booster),Line Maintenance Write-Up #1283 | Low-Pressure Compressor (LPC / Booster) (ATA 72-20): Acoustic anomaly reported by flight crew during takeoff roll; traced to combustor liner burnthrough. Resolution: Performed MCD chip analysis per Engineering Order EO-365-C63; single isolated particle cleared by metallurgy. Ops check passed.
LOG-1284,2025-08-21 06:02,95,73-10,Fuel System,ACARS Engine Alert — Engine 95 Sensor S20: Pylon secondary structure skin crack found during heavy maintenance visit; crack length 3.2 in. Ground team response: Water-in-fuel system drained and flushed per AMM 73-10-07. Filter element replaced (PN: 488-Z16). WIF sensor re-tested OK.
LOG-1285,2025-10-25 02:02,95,78-30,Exhaust / Nozzle,Non-Routine Card NRC-1285 opened for Engine 95 Exhaust / Nozzle. Finding: Debris found in magnetic chip detector (MCD); metallurgical analysis confirms #3 bearing wear particles. Action: Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service.
LOG-1286,2026-03-24 18:02,95,72-50,Turbine Rear Frame (TRF),Trend Analysis Report — Engine 95 Turbine Rear Frame (TRF): Engine mount forward link bushings worn beyond serviceable limits; free-play measured at 0.025 in. Maintenance response: Engine inlet FOD inspection completed per post-bird-strike check sheet. All blades within blend limits. Returned to service.
LOG-1287,2026-05-16 11:02,80,73-20,Engine Control (FADEC),Borescope Work Order | Engine 80 | Engine Control (FADEC): Igniter plug A shows excessive electrode erosion; spark gap measured at 0.18 in (limit 0.12 in). Outcome: Field fan balance performed (4 balance weights added per AMM 72-20-09). N1 vibration reduced from 1.8 to 0.3 IPS.
LOG-1288,2025-11-26 08:02,71,72-40,Combustor Section,Trend Analysis Report — Engine 71 Combustor Section: EGT thermocouple harness chafing against fuel line; two conductors show bare wire. Maintenance response: Turbine Rear Frame strut repair per DER-approved repair scheme RS-640-Z60. NDT re-check clear. Returned to service.
LOG-1289,2026-01-23 04:02,26,72-30,Variable Stator Vane (VSV) System,EHM System Flag — Sensor S7 | Engine 26 | ATA 72-30: Seal degradation resulting in higher-than-expected secondary airflow bypass; labyrinth knife-edges worn. Turbine Rear Frame strut repair per DER-approved repair scheme RS-986-C80. NDT re-check clear. Returned to service.
LOG-1290,2026-03-28 09:02,74,72-20,Low-Pressure Compressor (LPC / Booster),Trend Analysis Report — Engine 74 Low-Pressure Compressor (LPC / Booster): FADEC software exception code 0x4A31 — fuel control loop saturation at altitude relight attempt. Maintenance response: Engine mount bushings replaced per AMM 71-20-01 (PN: 558-C72). Alignment checked; free-play within 0.008 in limit.
LOG-1291,2026-03-02 09:02,12,74-10,Starter / Ignition System,Engine 12 AOG Recovery — Starter / Ignition System (ATA 74-10): FADEC logged 14 EICAS maintenance messages relating to T4.5 thermocouple channel mismatch. Expedited action: Water-in-fuel system drained and flushed per AMM 73-10-07. Filter element replaced (PN: 165-Z67). WIF sensor re-tested OK.
LOG-1292,2025-10-25 19:02,33,72-30,Variable Stator Vane (VSV) System,Non-Routine Card NRC-1292 opened for Engine 33 Variable Stator Vane (VSV) System. Finding: Hot streak on turbine inlet temperature (TIT) sensor trace indicates circumferential non-uniformity in combustion. Action: Hydraulic actuator seal kit replaced (PN: 510-C92). Internal leakage re-tested at 0.8 cc/min — well within 5 cc/min limit.
LOG-1293,2026-04-16 23:02,60,72-60,Accessory Gearbox (AGB),"Maintenance Debrief Engine 60 (Accessory Gearbox (AGB), ATA 72-60): Crew reported anomaly. Finding: Fuel nozzle #12 flow rate at 87% of nominal; nozzle pulled and replaced. Performed MCD chip analysis per Engineering Order EO-339-Z30; single isolated particle cleared by metallurgy. Ops check passed."
LOG-1294,2025-07-27 07:02,35,36-10,Bleed Air / Anti-Ice System,Line Maintenance Write-Up #1294 | Bleed Air / Anti-Ice System (ATA 36-10): Pylon secondary structure skin crack found during heavy maintenance visit; crack length 3.2 in. Resolution: Combustor liner replaced with serviceable unit (PN: 850-Z50). Borescope post-installation confirms correct seating.
LOG-1295,2026-03-06 04:02,65,72-40,Combustor Section,Trend Analysis Report — Engine 65 Combustor Section: Actuator linkage found binding during manual operational check; jam nut backed off causing misalignment. Maintenance response: Oil seal replaced (PN: 964-Z27). Engine oil consumption check over 10-hour period: 0.15 qt/hr — within limit of 0.4 qt/hr.
LOG-1296,2025-10-31 03:02,4,74-10,Starter / Ignition System,"Line Maintenance Write-Up #1296 | Starter / Ignition System (ATA 74-10): LPT blade tip rub marks identified; rotor-to-shroud clearance measured at 0.003 in, exceeding the 0.002 in maximum. Resolution: Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service."
LOG-1297,2026-03-16 14:02,3,72-60,Accessory Gearbox (AGB),ATA 72-60 | Engine 3: AGB oil filler cap found improperly seated; oil loss estimated at 2.3 qt over 4-hour flight. T2 sensor de-iced and anti-ice inlet heater power supply verified. FADEC fault cleared. Altitude relight test successful.
LOG-1298,2025-11-05 18:02,59,72-40,Combustor Section,EHM System Flag — Sensor S12 | Engine 59 | ATA 72-40: Borescope inspection revealed Thermal Barrier Coating (TBC) spallation on HPT stage-1 blades. Starter replaced (PN: 379-B87); motoring check confirmed N2 rise rate meets AMM minimum. Start cycle tested × 3.
LOG-1299,2026-01-05 10:02,57,72-20,Fan Module / Bypass,Post-Flight Inspection Engine 57 (ATA 72-20): Micro-cracking observed on root attachment of HPC stage-2 blades; confirmed by fluorescent penetrant inspection (FPI). Applied high-temp RTV sealant (MIL-A-46146) and safety-wired mounting brackets per engineering order.
LOG-1300,2025-06-27 09:02,89,79-00,Oil System,ACARS Engine Alert — Engine 89 Sensor S18: Thrust reverser hydraulic actuator internal leak rate measured at 18 cc/min against limit of 5 cc/min. Ground team response: Replaced O-ring seals (PN: 161-B93) and torqued coupling nuts to 75 ft-lbs. Pressure-checked to 150 PSI — no leaks.
LOG-1301,2026-01-28 14:02,89,36-10,Bleed Air / Anti-Ice System,Non-Routine Card NRC-1301 opened for Engine 89 Bleed Air / Anti-Ice System. Finding: EGT thermocouple harness chafing against fuel line; two conductors show bare wire. Action: Bleed check valve replaced (PN: 140-X49). Bleed system functional test at ground idle and max continuous — normal.
LOG-1302,2025-10-10 10:02,34,72-50,Turbine Rear Frame (TRF),Post-Flight Inspection Engine 34 (ATA 72-50): Oil consumption trend exceeding 0.5 qt/hr; on-wing investigation reveals #4 bearing carbon seal degradation. Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service.
LOG-1303,2025-06-06 11:02,18,74-10,Starter / Ignition System,EHM System Flag — Sensor S21 | Engine 18 | ATA 74-10: N2 speed sensor signal intermittent above FL350; EMI source identified on P-lead harness. Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service.
LOG-1304,2025-12-05 18:02,30,72-20,Low-Pressure Compressor (LPC / Booster),Borescope Work Order | Engine 30 | Low-Pressure Compressor (LPC / Booster): Oil filter bypass indicator (OFBI) popped in-flight; filter element found heavily loaded with metallic debris. Outcome: LPT shroud segment blended within limits per AMM 72-40-07. Borescope re-check confirms crack arrest. Returned to service.
LOG-1305,2025-07-04 14:02,93,73-10,Fuel System,Shop Finding — Engine S/N 93 | Fuel System: Fan case acoustic liner panel delamination over a 6 × 4 inch area; water ingress suspected. Disposition: EGT harness replaced (PN: 285-Z24). All thermocouple channels checked against reference — max split 12 °C. FADEC reset.
LOG-1306,2026-03-12 20:02,87,74-10,Starter / Ignition System,Engine 87 AOG Recovery — Starter / Ignition System (ATA 74-10): High-pressure fuel pump discharge pressure 200 PSI below spec at max power; pump worn. Expedited action: T2 sensor de-iced and anti-ice inlet heater power supply verified. FADEC fault cleared. Altitude relight test successful.
LOG-1307,2025-12-14 01:02,49,72-20,Fan Module / Bypass,Heavy Check C-Visit Finding | Engine 49 | Fan Module / Bypass: Fan cowl door latch pin fractured; door opened in flight causing structural damage to leading edge. Engineering disposition: Unison ring replaced (PN: 421-B52) per AMM 72-30-12. VSV schedule verified across N2 range — max deviation 0.8°.
LOG-1308,2026-05-12 17:02,8,72-50,Turbine Rear Frame (TRF),"ATA 72-50 | Engine 8: Post-bird-strike inspection revealed fan blade FOD on blades 4, 7, and 11; all within blend limits. Water-in-fuel system drained and flushed per AMM 73-10-07. Filter element replaced (PN: 785-B46). WIF sensor re-tested OK."
LOG-1309,2025-11-28 11:02,26,73-10,Fuel System,Trend Analysis Report — Engine 26 Fuel System: Anti-ice valve butterfly disc fractured; nacelle anti-ice inoperative — deferred per MEL 30-11. Maintenance response: Adjusted fuel-flow metering within FADEC software limits (ref SB 73-10-73-12). Cleared for revenue service.
LOG-1310,2026-03-21 01:02,4,72-40,Combustor Section,ACARS Engine Alert — Engine 4 Sensor S11: FADEC logged 14 EICAS maintenance messages relating to T4.5 thermocouple channel mismatch. Ground team response: Replaced O-ring seals (PN: 847-C15) and torqued coupling nuts to 75 ft-lbs. Pressure-checked to 150 PSI — no leaks.
LOG-1311,2025-07-21 01:02,57,72-30,High-Pressure Compressor (HPC),EHM System Flag — Sensor S4 | Engine 57 | ATA 72-30: FADEC logged 14 EICAS maintenance messages relating to T4.5 thermocouple channel mismatch. Performed on-wing borescope per AMM task 72-00-00-290-801. No further deterioration; component returned to service.
LOG-1312,2026-04-15 06:02,45,73-20,Engine Control (FADEC),"EHM System Flag — Sensor S20 | Engine 45 | ATA 73-20: Post-bird-strike inspection revealed fan blade FOD on blades 4, 7, and 11; all within blend limits. Fan cowl latch replaced (PN: 316-B85). All 6 latches tested for positive engagement and safety catch. Ops check complete."
LOG-1313,2025-08-02 17:02,55,71-20,Engine Mounts / Pylon,Auto-Alert on Sensor S1 (Engine 55). Actuator linkage found binding during manual operational check; jam nut backed off causing misalignment. Oil seal replaced (PN: 292-Z39). Engine oil consumption check over 10-hour period: 0.15 qt/hr — within limit of 0.4 qt/hr.
LOG-1314,2026-02-04 04:02,99,79-00,Oil System,Routine Inspection of Oil System on Engine 99: Rub strip contact observed on HPC stage-5 rotor; abradable coating partially displaced. Action Taken: Oil seal replaced (PN: 333-C70). Engine oil consumption check over 10-hour period: 0.15 qt/hr — within limit of 0.4 qt/hr.
LOG-1315,2026-04-05 00:02,42,72-20,Low-Pressure Compressor (LPC / Booster),Routine Inspection of Low-Pressure Compressor (LPC / Booster) on Engine 42: HPC stage-7 blade tip erosion reducing surge margin below EHM threshold. Action Taken: Fan acoustic liner panel repaired with structural film adhesive per AMM 71-10-04 (PN: 507-A42). Tap test confirms no further delamination.
LOG-1316,2026-05-16 18:02,85,72-50,High-Pressure Turbine (HPT),"Maintenance Debrief Engine 85 (High-Pressure Turbine (HPT), ATA 72-50): Crew reported anomaly. Finding: Bleed duct insulation blanket missing from 18-inch section; risk of overheat on adjacent hydraulic line. Performed deep chemical wash and re-torqued casing bolts to 450 in-lbs per AMM 72-50-00-03."
LOG-1317,2025-10-10 02:02,17,72-30,Variable Stator Vane (VSV) System,Routine Inspection of Variable Stator Vane (VSV) System on Engine 17: 5th-stage bleed check valve stuck open; high-pressure bleed air back-flowing into 9th-stage duct. Action Taken: VSV rigging adjusted per AMM 72-30-12 to restore schedule within ±1°. Functional test satisfactory.
LOG-1318,2026-03-21 22:02,92,79-00,Oil System,Auto-Alert on Sensor S19 (Engine 92). Trailing edge cracking noted on HPT stage-1 blades during 800-cycle hard-time borescope. Nose cowl anti-ice duct insulation blanket replaced per AMM 30-21-01. Adjacent structure inspected — no heat damage found.
LOG-1319,2026-02-05 12:02,9,36-10,Bleed Air / Anti-Ice System,Non-Routine Card NRC-1319 opened for Engine 9 Bleed Air / Anti-Ice System. Finding: Fan blade dovetail fretting wear observed; fits within blend limits per AMM 72-20-03. Action: VSV rigging adjusted per AMM 72-30-12 to restore schedule within ±1°. Functional test satisfactory.
LOG-1320,2025-11-26 16:02,35,71-20,Engine Mounts / Pylon,"Trend Analysis Report — Engine 35 Engine Mounts / Pylon: Oil cooler matrix found cracked at inlet header, causing low oil pressure indication. Maintenance response: LPT shroud segment blended within limits per AMM 72-40-07. Borescope re-check confirms crack arrest. Returned to service."
LOG-1321,2025-06-26 18:02,22,72-20,Fan Module / Bypass,Trend Analysis Report — Engine 22 Fan Module / Bypass: Trailing edge cracking noted on HPT stage-1 blades during 800-cycle hard-time borescope. Maintenance response: Engine inlet FOD inspection completed per post-bird-strike check sheet. All blades within blend limits. Returned to service.
LOG-1322,2025-07-07 23:02,56,72-30,High-Pressure Compressor (HPC),ATA 72-30 | Engine 56: Oil filter bypass indicator (OFBI) popped in-flight; filter element found heavily loaded with metallic debris. Thrust reverser actuator replaced (PN: 538-X22). Full stow/deploy cycle tests × 5 — all within time limits.
